Variable,Long name,Standard name,Units
rsutcsaf,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation",toa_outgoing_shortwave_flux_assuming_clear_sky_and_no _aerosol,W m-2
rsutcsafbnd,"TOA Outgoing Clear-Sky, Aerosol-Free Shortwave Radiation in Bands",toa_outgoing_shortwave_flux_assuming_clear_sky_and_no _aerosol,W m-2
rsutcsbnd,TOA Outgoing Clear-Sky Shortwave Radiation for Each Band,toa_outgoing_shortwave_flux_assuming_clear_sky,W m-2
rtmt,Net Downward Radiative Flux at Top of Model,net_downward_radiative_flux_at_top_of_atmosphere_model,W m-2
rv850,Relative Vorticity at 850hPa,atmosphere_relative_vorticity,s-1
rzwc,Root Zone Soil Moisture,mass_content_of_water_in_soil_layer_defined_by_root _depth,kg m-2
sandfrac,Sand Fraction,volume_fraction_of_sand_in_soil,Dimensionless
sbl,Surface Snow and Ice Sublimation Flux,tendency_of_atmosphere_mass_content_of_water_vapor_due _to_sublimation_of_surface_snow_and_ice,kg m-2 s-1
sblIs,Ice Sheet Surface Snow and Ice Sublimation Flux,tendency_of_atmosphere_mass_content_of_water_vapor_due _to_sublimation_of_surface_snow_and_ice,kg m-2 s-1
sblnosn,Sublimation of the Snow Free Area,tendency_of_atmosphere_mass_content_of_water_vapor_due _to_sublimation_of_surface_ice,kg m-2 s-1
sci,Fraction of Time Shallow Convection Occurs,shallow_convection_time_fraction,Dimensionless
scldncl,Cloud Droplet Number Concentration of Stratiform Cloud Tops,number_concentration_of_stratiform_cloud_liquid_water _particles_at_stratiform_liquid_water_cloud_top,m-3
sconcdust,Surface Concentration of Dust,mass_concentration_of_dust_dry_aerosol_particles_in_air,kg m-3
sconcso4,Surface Concentration of SO4,mass_concentration_of_sulfate_dry_aerosol_particles_in _air,kg m-3
sconcss,Surface Concentration of Sea-Salt Aerosol,mass_concentration_of_sea_salt_dry_aerosol_particles_in _air,kg m-3
sedustCI,Sedimentation Flux of Dust Mode Coarse Insoluble,minus_tendency_of_atmosphere_mass_content_of_insoluble _dust_dry_aerosol_particles_due_to_deposition,kg m-2 s-1
sf6,Mole Concentration of SF6 in Sea Water,mole_concentration_of_sulfur_hexafluoride_in_sea_water,mol m-3
sfcWind,Daily-Mean Near-Surface Wind Speed,wind_speed,m s-1
sfcWindmax,Daily Maximum Near-Surface Wind Speed,wind_speed,m s-1
sfdsi,Downward Sea Ice Basal Salt Flux,downward_sea_ice_basal_salt_flux,kg m-2 s-1
sfno2,NO2 Volume Mixing Ratio in Lowest Model Layer,mole_fraction_of_nitrogen_dioxide_in_air,mol mol-1
sfo3,O3 Volume Mixing Ratio in Lowest Model Layer,mole_fraction_of_ozone_in_air,mol mol-1
sfo3max,Daily Maximum O3 Volume Mixing Ratio in Lowest Model Layer,mole_fraction_of_ozone_in_air,mol mol-1
sfpm25,PM2.5 Mass Mixing Ratio in Lowest Model Layer,mass_fraction_of_pm2p5_ambient_aerosol_particles_in_air,kg kg-1
sfriver,Salt Flux into Sea Water from Rivers,salt_flux_into_sea_water_from_rivers,kg m-2 s-1
sftflf,Floating Ice Shelf Area Percentage,floating_ice_shelf_area_fraction,%
sftgif,Land Ice Area Percentage,land_ice_area_fraction,%
sftgrf,Grounded Ice Sheet Area Percentage,grounded_ice_sheet_area_fraction,%
sftlf,Percentage of the Grid Cell Occupied by Land (Including Lakes),land_area_fraction,%
sftof,Sea Area Percentage,sea_area_fraction,%
shrubFrac,Percentage Cover by Shrub,area_fraction,%
si,Total Dissolved Inorganic Silicon Concentration,mole_concentration_of_dissolved_inorganic_silicon_in _sea_water,mol m-3
siage,Age of Sea Ice,age_of_sea_ice,s
siareaacrossline,Sea-Ice Area Flux Through Straits,sea_ice_area_transport_across_line,m2 s-1
siarean,Sea-Ice Area North,sea_ice_area,1e6 km2
siareas,Sea-Ice Area South,sea_ice_area,1e6 km2
sicompstren,Compressive Sea Ice Strength,compressive_strength_of_sea_ice,N m-1
siconc,Sea-Ice Area Percentage (Ocean Grid),sea_ice_area_fraction,%
siconca,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,%
sidconcdyn,Sea-Ice Area Percentage Tendency Due to Dynamics,tendency_of_sea_ice_area_fraction_due_to_dynamics,s-1
sidconcth,Sea-Ice Area Percentage Tendency Due to Thermodynamics,tendency_of_sea_ice_area_fraction_due_to_thermodynamics,s-1
sidivvel,Divergence of the Sea-Ice Velocity Field,divergence_of_sea_ice_velocity,s-1
sidmassdyn,Sea-Ice Mass Change from Dynamics,tendency_of_sea_ice_amount_due_to_sea_ice_dynamics,kg m-2 s-1
sidmassevapsubl,Sea-Ice Mass Change Through Evaporation and Sublimation,water_evapotranspiration_flux,kg m-2 s-1
sidmassgrowthbot,Sea-Ice Mass Change Through Basal Growth,tendency_of_sea_ice_amount_due_to_congelation_ice _accumulation,kg m-2 s-1
sidmassgrowthwat,Sea-Ice Mass Change Through Growth in Supercooled Open Water (Frazil),tendency_of_sea_ice_amount_due_to_frazil_ice _accumulation_in_leads,kg m-2 s-1
sidmasslat,Lateral Sea Ice Melt Rate,tendency_of_sea_ice_amount_due_to_lateral_melting,kg m-2 s-1
sidmassmeltbot,Sea-Ice Mass Change Through Bottom Melting,tendency_of_sea_ice_amount_due_to_basal_melting,kg m-2 s-1
sidmassmelttop,Sea-Ice Mass Change Through Surface Melting,tendency_of_sea_ice_amount_due_to_surface_melting,kg m-2 s-1
sidmasssi,Sea-Ice Mass Change Through Snow-to-Ice Conversion,tendency_of_sea_ice_amount_due_to_conversion_of_snow_to _sea_ice,kg m-2 s-1
sidmassth,Sea-Ice Mass Change from Thermodynamics,tendency_of_sea_ice_amount_due_to_sea_ice _thermodynamics,kg m-2 s-1
sidmasstranx,X-Component of Sea-Ice Mass Transport,sea_ice_x_transport,kg s-1
sidmasstrany,Y-Component of Sea-Ice Mass Transport,sea_ice_y_transport,kg s-1
sidragbot,Ocean Drag Coefficient,sea_ice_basal_drag_coefficient_for_momentum_in_sea _water,Dimensionless
sidragtop,Atmospheric Drag Coefficient,surface_drag_coefficient_for_momentum_in_air,Dimensionless
siextentn,Sea-Ice Extent North,sea_ice_extent,1e6 km2
siextents,Sea-Ice Extent South,sea_ice_extent,1e6 km2
sifb,Sea-Ice Freeboard,sea_ice_freeboard,m
siflcondbot,Net Conductive Heat Fluxes in Ice at the Bottom,basal_downward_heat_flux_in_sea_ice,W m-2
siflcondtop,Net Conductive Heat Flux in Ice at the Surface,surface_downward_sensible_heat_flux,W m-2
siflfwbot,Freshwater Flux from Sea Ice,water_flux_into_sea_water_due_to_sea_ice_thermodynamics,kg m-2 s-1
siflfwdrain,Freshwater Flux from Sea-Ice Surface,water_flux_into_sea_water_due_to_surface_drainage,kg m-2 s-1
sifllatstop,Net Latent Heat Flux over Sea Ice,surface_upward_latent_heat_flux,W m-2
sifllwdtop,Downwelling Longwave Flux over Sea Ice,surface_downwelling_longwave_flux_in_air,W m-2
sifllwutop,Upwelling Longwave Flux over Sea Ice,surface_upwelling_longwave_flux_in_air,W m-2
siflsenstop,Net Upward Sensible Heat Flux over Sea Ice,surface_upward_sensible_heat_flux,W m-2
siflsensupbot,Net Upward Sensible Heat Flux Under Sea Ice,upward_sea_ice_basal_heat_flux,W m-2
siflswdbot,Downwelling Shortwave Flux Under Sea Ice,downwelling_shortwave_flux_in_sea_water_at_sea_ice_base,W m-2
siflswdtop,Downwelling Shortwave Flux over Sea Ice,surface_downwelling_shortwave_flux_in_air,W m-2
siflswutop,Upwelling Shortwave Flux over Sea Ice,surface_upwelling_shortwave_flux_in_air,W m-2
siforcecoriolx,Coriolis Force Term in Force Balance (X-Component),sea_ice_x_force_per_unit_area_due_to_coriolis_effect,N m-2
siforcecorioly,Coriolis Force Term in Force Balance (Y-Component),sea_ice_y_force_per_unit_area_due_to_coriolis_effect,N m-2
siforceintstrx,Internal Stress Term in Force Balance (X-Component),sea_ice_x_internal_stress,N m-2
siforceintstry,Internal Stress Term in Force Balance (Y-Component),sea_ice_y_internal_stress,N m-2
siforcetiltx,Sea-Surface Tilt Term in Force Balance (X-Component),sea_ice_x_force_per_unit_area_due_to_sea_surface_tilt,N m-2
siforcetilty,Sea-Surface Tilt Term in Force Balance (Y-Component),sea_ice_y_force_per_unit_area_due_to_sea_surface_tilt,N m-2
sihc,Sea-Ice Heat Content per Unit Area,sea_ice_temperature_expressed_as_heat_content,J m-2
siitdconc,Sea-Ice Area Percentages in Thickness Categories,sea_ice_area_fraction,%
siitdsnconc,Snow Area Percentages in Ice Thickness Categories,surface_snow_area_fraction,%
siitdsnthick,Snow Thickness in Ice Thickness Categories,surface_snow_thickness,m
siitdthick,Sea-Ice Thickness in Thickness Categories,sea_ice_thickness,m
siltfrac,Silt Fraction,volume_fraction_of_silt_in_soil,Dimensionless
simass,Sea-Ice Mass per Area,sea_ice_amount,kg m-2
simassacrossline,Sea Mass Area Flux Through Straits,sea_ice_transport_across_line,kg s-1
simpconc,Percentage Cover of Sea Ice by Meltpond,area_fraction,%
simpmass,Meltpond Mass per Unit Area (as Depth),sea_ice_melt_pond_thickness,m
simprefrozen,Thickness of Refrozen Ice on Melt Pond,thickness_of_ice_on_sea_ice_melt_pond,m
sios,Surface Total Dissolved Inorganic Silicon Concentration,mole_concentration_of_dissolved_inorganic_silicon_in _sea_water,mol m-3
sipr,Rainfall Rate over Sea Ice,rainfall_flux,kg m-2 s-1
sirdgconc,Percentage Cover of Sea Ice by Ridging,area_fraction,Dimensionless
sirdgthick,Ridged Ice Thickness,sea_ice_thickness,m
sisali,Sea Ice Salinity,sea_ice_salinity,0.001
sisaltmass,Mass of Salt in Sea Ice per Area,sea_ice_mass_content_of_salt,kg m-2
sishevel,Maximum Shear of Sea-Ice Velocity Field,maximum_over_coordinate_rotation_of_sea_ice_horizontal _shear_strain_rate,s-1
sisnconc,Snow Area Percentage,surface_snow_area_fraction,%
sisnhc,Snow Heat Content per Unit Area,thermal_energy_content_of_surface_snow,J m-2
sisnmass,Snow Mass per Area,liquid_water_content_of_surface_snow,kg m-2
sisnthick,Snow Thickness,surface_snow_thickness,m
sispeed,Sea-Ice Speed,sea_ice_speed,m s-1
sistremax,Maximum Shear Stress in Sea Ice,maximum_over_coordinate_rotation_of_sea_ice_horizontal _shear_stress,N m-1
sistresave,Average Normal Stress in Sea Ice,sea_ice_average_normal_horizontal_stress,N m-1
sistrxdtop,X-Component of Atmospheric Stress on Sea Ice,surface_downward_x_stress,N m-2
sistrxubot,X-Component of Ocean Stress on Sea Ice,upward_x_stress_at_sea_ice_base,N m-2
sistrydtop,Y-Component of Atmospheric Stress on Sea Ice,surface_downward_y_stress,N m-2
sistryubot,Y-Component of Ocean Stress on Sea Ice,upward_y_stress_at_sea_ice_base,N m-2
sitempbot,Temperature at Ice-Ocean Interface,sea_ice_basal_temperature,K
sitempsnic,Temperature at Snow-Ice Interface,sea_ice_surface_temperature,K
sitemptop,Surface Temperature of Sea Ice,sea_ice_surface_temperature,K
sithick,Sea Ice Thickness,sea_ice_thickness,m
sitimefrac,Fraction of Time Steps with Sea Ice,fraction_of_time_with_sea_ice_area_fraction_above _threshold,Dimensionless
siu,X-Component of Sea-Ice Velocity,sea_ice_x_velocity,m s-1
siv,Y-Component of Sea-Ice Velocity,sea_ice_y_velocity,m s-1
sivol,Sea-Ice Volume per Area,sea_ice_thickness,m
sivoln,Sea-Ice Volume North,sea_ice_volume,1e3 km3
sivols,Sea-Ice Volume South,sea_ice_volume,1e3 km3
sltbasin,Northward Ocean Salt Transport,northward_ocean_salt_transport,kg s-1
slthick,Thickness of Soil Layers,cell_thickness,m
sltovgyre,Northward Ocean Salt Transport Due to Gyre,northward_ocean_salt_transport_due_to_gyre,kg s-1
sltovovrt,Northward Ocean Salt Transport Due to Overturning,northward_ocean_salt_transport_due_to_overturning,kg s-1
smc,Shallow Convective Mass Flux,atmosphere_net_upward_shallow_convective_mass_flux,kg m-2 s-1
snc,Snow Area Percentage,surface_snow_area_fraction,%
sncIs,Ice Sheet Snow Cover Percentage,surface_snow_area_fraction,%
snd,Snow Depth,surface_snow_thickness,m
sndmassdyn,Snow Mass Rate of Change Through Advection by Sea-Ice Dynamics,tendency_of_surface_snow_amount_due_to_sea_ice_dynamics,kg m-2 s-1
sndmassmelt,Snow Mass Rate of Change Through Melt,surface_snow_melt_flux,kg m-2 s-1
sndmasssi,Snow Mass Rate of Change Through Snow-to-Ice Conversion,tendency_of_surface_snow_amount_due_to_conversion_of _snow_to_sea_ice,kg m-2 s-1
sndmasssnf,Snow Mass Change Through Snow Fall,snowfall_flux,kg m-2 s-1
sndmasssubl,Snow Mass Rate of Change Through Evaporation or Sublimation,tendency_of_atmosphere_mass_content_of_water_vapor_due _to_sublimation_of_surface_snow_and_ice,kg m-2 s-1
sndmasswindrif,Snow Mass Rate of Change Through Wind Drift of Snow,tendency_of_surface_snow_amount_due_to_drifting_into _sea,kg m-2 s-1
snicefreez,Surface Snow and Ice Refreeze Flux,surface_snow_and_ice_refreezing_flux,kg m-2 s-1
snicefreezIs,Ice Sheet Surface Snow and Ice Refreeze Flux,surface_snow_and_ice_refreezing_flux,kg m-2 s-1
snicem,Surface Snow and Ice Melt Flux,surface_snow_and_ice_melt_flux,kg m-2 s-1
snicemIs,Ice Sheet Surface Snow and Ice Melt Flux,surface_snow_and_ice_melt_flux,kg m-2 s-1
snm,Surface Snow Melt,surface_snow_melt_flux,kg m-2 s-1
snmassacrossline,Snow Mass Flux Through Straits,snow_transport_across_line_due_to_sea_ice_dynamics,kg s-1
snmIs,Ice Sheet Surface Snow Melt,surface_snow_melt_flux,kg m-2 s-1
snmsl,Water Flowing out of Snowpack,liquid_water_mass_flux_into_soil_due_to_surface_snow _melt,kg m-2 s-1
snowmxrat27,Mass Fraction of Snow in Air,mass_fraction_of_snow_in_air,Dimensionless
snrefr,Refreezing of Water in the Snow,surface_snow_and_ice_refreezing_flux,kg m-2 s-1
snw,Surface Snow Amount,surface_snow_amount,kg m-2
snwc,Snow Water Equivalent Intercepted by the Vegetation,canopy_snow_amount,kg m-2
so,Sea Water Salinity,sea_water_salinity,0.001
so2,SO2 Volume Mixing Ratio,mole_fraction_of_sulfur_dioxide_in_air,mol mol-1
sob,Sea Water Salinity at Sea Floor,sea_water_salinity_at_sea_floor,0.001
soga,Global Mean Sea Water Salinity,sea_water_salinity,0.001
solbnd,TOA Solar Irradiance for Each Band,toa_incoming_shortwave_flux,W m-2
somint,Depth Integral of Product of Sea Water Density and Prognostic Salinity,integral_wrt_depth_of_product_of_salinity_and_sea_water _density,g m-2
sootsn,Snow Soot Content,soot_content_of_surface_snow,kg m-2
sos,Sea Surface Salinity,sea_surface_salinity,0.001
sosga,Global Average Sea Surface Salinity,sea_surface_salinity,0.001
sossq,Square of Sea Surface Salinity,square_of_sea_surface_salinity,1.00E-06
spco2,Surface Aqueous Partial Pressure of CO2,surface_partial_pressure_of_carbon_dioxide_in_sea_water,Pa
spco2abio,Abiotic Surface Aqueous Partial Pressure of CO2,surface_carbon_dioxide_abiotic_analogue_partial _pressure_difference_between_sea_water_and_air,Pa
spco2nat,Natural Surface Aqueous Partial Pressure of CO2,surface_carbon_dioxide_natural_analogue_partial _pressure_difference_between_sea_water_and_air,Pa
strbasemag,Land Ice Basal Drag,land_ice_basal_drag,Pa
sw,Surface Water Storage,land_surface_liquid_water_amount,kg m-2
sw2H,Isotopic Ratio of Deuterium in Sea Water,isotope_ratio_of_2H_to_1H_in_sea_water_excluding _solutes_and_solids,Dimensionless
sw17O,Isotopic Ratio of Oxygen-17 in Sea Water,isotope_ratio_of_17O_to_16O_in_sea_water_excluding _solutes_and_solids,Dimensionless
sw18O,Isotopic Ratio of Oxygen-18 in Sea Water,isotope_ratio_of_18O_to_16O_in_sea_water_excluding _solutes_and_solids,Dimensionless
sweLut,Snow Water Equivalent on Land-Use Tile,lwe_thickness_of_surface_snow_amount,m
swsffluxaero,Shortwave Heating Rate Due to Volcanic Aerosols,surface_downwelling_shortwave_flux_in_air_due_to _volcanic_ambient_aerosol_particles,W m-2
swsrfasdust,All-Sky Surface Shortwave Radiative Flux Due to Dust,surface_net_downward_shortwave_dust_ambient_aerosol _particles_direct_radiative_effect,W m-2
swsrfcsdust,Clear-Sky Surface Shortwave Radiative Flux Due to Dust,surface_net_downward_shortwave_dust_ambient_aerosol _particles_direct_radiative_effect_assuming_clear_sky,W m-2
swtoaasdust,All-Sky Shortwave Flux Due to Dust at Toa,toa_instantaneous_shortwave_forcing,W m-2
swtoacsdust,Clear Sky Shortwave Flux Due to Dust at Toa,toa_instantaneous_shortwave_forcing,W m-2
swtoafluxaerocs,TOA Outgoing Clear-Sky Shortwave Flux Due to Volcanic Aerosols,toa_outgoing_shortwave_flux_due_to_volcanic_ambient _aerosol_particles_assuming_clear_sky,W m-2
sza,Solar Zenith Angle,solar_zenith_angle,degree
t2,Mean-Squared Air Temperature,square_of_air_temperature,K2
t20d,Depth of 20 degree Celsius Isotherm,depth_of_isosurface_of_sea_water_potential_temperature,m
ta,Air Temperature,air_temperature,K
ta7h,Air Temperature,air_temperature,K
ta27,Air Temperature,air_temperature,K
ta500,Air Temperature,air_temperature,K
ta700,Air Temperature,air_temperature,K
ta850,Air Temperature,air_temperature,K
talk,Total Alkalinity,sea_water_alkalinity_expressed_as_mole_equivalent,mol m-3
talknat,Natural Total Alkalinity,sea_water_alkalinity_natural_analogue_expressed_as_mole _equivalent,mol m-3
talknatos,Surface Natural Total Alkalinity,sea_water_alkalinity_natural_analogue_expressed_as_mole _equivalent,mol m-3
talkos,Surface Total Alkalinity,sea_water_alkalinity_expressed_as_mole_equivalent,mol m-3
tas,Near-Surface Air Temperature,air_temperature,K
tasIs,Ice Sheet Near-Surface Air Temperature,air_temperature,K
tasLut,Near-Surface Air Temperature on Land Use Tile,air_temperature,K
tasmax,Daily Maximum Near-Surface Air Temperature,air_temperature,K
tasmaxCrop,Daily Maximum Near-Surface Air Temperature over Crop Tile,air_temperature,K
tasmin,Daily Minimum Near-Surface Air Temperature,air_temperature,K
tasminCrop,Daily Minimum Near-Surface Air Temperature over Crop Tile,air_temperature,K
tatp,Tropopause Air Temperature,tropopause_air_temperature,K
tau,Momentum Flux,magnitude_of_surface_downward_stress,N m-2
tauu,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,Pa
tauucorr,Surface Downward X Stress Correction,downward_x_stress_correction_at_sea_water_surface,N m-2
tauuo,Sea Water Surface Downward X Stress,downward_x_stress_at_sea_water_surface,N m-2
tauupbl,Eastward Surface Stress from Planetary Boundary Layer Scheme,surface_downward_eastward_stress_due_to_boundary_layer _mixing,Pa
tauv,Surface Downward Northward Wind Stress,surface_downward_northward_stress,Pa
tauvcorr,Surface Downward Y Stress Correction,downward_y_stress_correction_at_sea_water_surface,N m-2
tauvo,Sea Water Surface Downward Y Stress,downward_y_stress_at_sea_water_surface,N m-2
tauvpbl,Northward Surface Stress from Planetary Boundary Layer Scheme,surface_downward_northward_stress_due_to_boundary_layer _mixing,Pa
tcs,Vegetation Canopy Temperature,canopy_temperature,K
tdps,2m Dewpoint Temperature,dew_point_temperature,K
tendacabf,Total Surface Mass Balance Flux,tendency_of_land_ice_mass_due_to_surface_mass_balance,kg s-1
tendlibmassbf,Total Basal Mass Balance Flux,tendency_of_land_ice_mass_due_to_basal_mass_balance,kg s-1
tendlicalvf,Total Calving Flux,tendency_of_land_ice_mass_due_to_calving,kg s-1
tgs,Temperature of Bare Soil,surface_temperature,K
thetao,Sea Water Potential Temperature,sea_water_potential_temperature,degC
thetaoga,Global Average Sea Water Potential Temperature,sea_water_potential_temperature,degC
thetaot,Vertically Averaged Sea Water Potential Temperature,sea_water_potential_temperature,degC
thetaot300,Depth Average Potential Temperature of Upper 300m,sea_water_potential_temperature,degC
thetaot700,Depth Average Potential Temperature of Upper 700m,sea_water_potential_temperature,degC
thetaot2000,Depth Average Potential Temperature of Upper 2000m,sea_water_potential_temperature,degC
thkcello,Ocean Model Cell Thickness,cell_thickness,m
tnhus,Tendency of Specific Humidity,tendency_of_specific_humidity,s-1
tnhusa,Tendency of Specific Humidity Due to Advection,tendency_of_specific_humidity_due_to_advection,s-1
tnhusc,Tendency of Specific Humidity Due to Convection,tendency_of_specific_humidity_due_to_convection,s-1
tnhusd,Tendency of Specific Humidity Due to Numerical Diffusion,tendency_of_specific_humidity_due_to_diffusion,s-1
tnhusmp,Tendency of Specific Humidity Due to Model Physics,tendency_of_specific_humidity_due_to_model_physics,s-1
tnhuspbl,Tendency of Specific Humidity Due to Boundary Layer Mixing,tendency_of_specific_humidity_due_to_boundary_layer _mixing,s-1
tnhusscp,Tendency of Specific Humidity Due to Stratiform Clouds and Precipitation,tendency_of_specific_humidity_due_to_stratiform_cloud _and_precipitation,s-1
tnhusscpbl,Tendency of Specific Humidity Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,tendency_of_specific_humidity_due_to_stratiform_cloud _and_precipitation_and_boundary_layer_mixing,s-1
tnkebto,Tendency of Ocean Eddy Kinetic Energy Content Due to Parameterized Eddy Advection,tendency_of_ocean_eddy_kinetic_energy_content_due_to _parameterized_eddy_advection,W m-2
tnkebto2d,Tendency of Ocean Eddy Kinetic Energy Content Due to Parameterized Eddy Advection,tendency_of_ocean_eddy_kinetic_energy_content_due_to _parameterized_eddy_advection,W m-2
tnpeo,Tendency of Ocean Potential Energy Content,tendency_of_ocean_potential_energy_content,W m-2
tnpeot,Tendency of Ocean Potential Energy Content Due to Tides,tendency_of_ocean_potential_energy_content_due_to_tides,W m-2
tnpeotb,Tendency of Ocean Potential Energy Content Due to Background,tendency_of_ocean_potential_energy_content_due_to _background,W m-2
tnt,Tendency of Air Temperature,tendency_of_air_temperature,K s-1
tnta,Tendency of Air Temperature Due to Advection,tendency_of_air_temperature_due_to_advection,K s-1
tntc,Tendency of Air Temperature Due to Convection,tendency_of_air_temperature_due_to_convection,K s-1
tntd,Tendency of Air Temperature Due to Numerical Diffusion,tendency_of_air_temperature_due_to_diffusion,K s-1
tntmp,Tendency of Air Temperature Due to Model Physics,tendency_of_air_temperature_due_to_model_physics,K s-1
tntmp27,Tendency of Air Temperature Due to Model Physics,tendency_of_air_temperature_due_to_model_physics,K s-1
tntnogw,Temperature Tendency Due to Non-Orographic Gravity Wave Dissipation,tendency_of_air_temperature_due_to_dissipation_of _nonorographic_gravity_waves,K s-1
tntogw,Temperature Tendency Due to Orographic Gravity Wave Dissipation,tendency_of_air_temperature_due_to_dissipation_of _orographic_gravity_waves,K s-1
tntpbl,Tendency of Air Temperature Due to Boundary Layer Mixing,tendency_of_air_temperature_due_to_boundary_layer _mixing,K s-1
tntr,Tendency of Air Temperature Due to Radiative Heating,tendency_of_air_temperature_due_to_radiative_heating,K s-1
tntr27,Tendency of Air Temperature Due to Radiative Heating,tendency_of_air_temperature_due_to_radiative_heating,K s-1
tntrl,Tendency of Air Temperature Due to Longwave Radiative Heating,tendency_of_air_temperature_due_to_longwave_heating,K s-1
tntrl27,Tendency of Air Temperature Due to Longwave Radiative Heating,tendency_of_air_temperature_due_to_longwave_heating,K s-1
tntrlcs,Tendency of Air Temperature Due to Clear Sky Longwave Radiative Heating,tendency_of_air_temperature_due_to_longwave_heating _assuming_clear_sky,K s-1
tntrs,Tendency of Air Temperature Due to Shortwave Radiative Heating,tendency_of_air_temperature_due_to_shortwave_heating,K s-1
tntrs27,Tendency of Air Temperature Due to Shortwave Radiative Heating,tendency_of_air_temperature_due_to_shortwave_heating,K s-1
tntrscs,Tendency of Air Temperature Due to Clear Sky Shortwave Radiative Heating,tendency_of_air_temperature_due_to_shortwave_heating _assuming_clear_sky,K s-1
tntscp,Tendency of Air Temperature Due to Stratiform Clouds and Precipitation,tendency_of_air_temperature_due_to_stratiform_cloud_and _precipitation,K s-1
tntscpbl,Tendency of Air Temperature Due to Stratiform Cloud and Precipitation and Boundary Layer Mixing,tendency_of_air_temperature_due_to_stratiform_cloud_and _precipitation_and_boundary_layer_mixing,K s-1
tob,Sea Water Potential Temperature at Sea Floor,sea_water_potential_temperature_at_sea_floor,degC
topg,Bedrock Altitude,bedrock_altitude,m
tos,Sea Surface Temperature,sea_surface_temperature,degC
tosga,Global Average Sea Surface Temperature,sea_surface_temperature,degC
tossq,Square of Sea Surface Temperature,square_of_sea_surface_temperature,degC2
toz,Total Column Ozone,equivalent_thickness_at_stp_of_atmosphere_ozone_content,m
tpf,Permafrost Layer Thickness,permafrost_layer_thickness,m
tr,Surface Radiative Temperature,surface_temperature,K
tran,Transpiration,transpiration_flux,kg m-2 s-1
treeFrac,Tree Cover Percentage,area_fraction,%
treeFracBdlDcd,Broadleaf Deciduous Tree Area Percentage,area_fraction,%
treeFracBdlEvg,Broadleaf Evergreen Tree Area Percentage,area_fraction,%
treeFracNdlDcd,Needleleaf Deciduous Tree Area Percentage,area_fraction,%
treeFracNdlEvg,Needleleaf Evergreen Tree Area Percentage,area_fraction,%
treeFracPrimDec,Percentage Cover by Primary Deciduous Tree,area_fraction,%
treeFracPrimEver,Percentage Cover by Primary Evergreen Trees,area_fraction,%
treeFracSecDec,Percentage Cover by Secondary Deciduous Trees,area_fraction,%
treeFracSecEver,Percentage Cover by Secondary Evergreen Trees,area_fraction,%
tropoz,Tropospheric Ozone Column,equivalent_thickness_at_stp_of_atmosphere_ozone_content,m
ts,Surface Temperature,surface_temperature,K
tsIs,Ice Sheet Surface Temperature,surface_temperature,K
tsl,Temperature of Soil,soil_temperature,K
tsland,Land Surface Temperature,surface_temperature,K
tslsi,Surface Temperature Where Land or Sea Ice,surface_temperature,K
tslsiLut,Surface Temperature on Landuse Tile,surface_temperature,K
tsn,Snow Internal Temperature,temperature_in_surface_snow,K
tsnIs,Ice Sheet Snow Internal Temperature,temperature_in_surface_snow,K
tsns,Snow Surface Temperature,surface_temperature,K
tSoilPools,Turnover Rate of Each Model Soil Carbon Pool,soil_pool_carbon_decay_rate,s-1
ttop,Air Temperature at Cloud Top,air_temperature_at_cloud_top,K
twap,Product of Air Temperature and Omega,product_of_lagrangian_tendency_of_air_pressure_and_air _temperature,K Pa s-1
u2,Mean-Squared Eastward Wind Speed,square_of_eastward_wind,m2 s-2
ua,Eastward Wind,eastward_wind,m s-1
ua7h,Eastward Wind,eastward_wind,m s-1
ua10,Eastward Wind at 10hPa,eastward_wind,m s-1
ua27,Eastward Wind,eastward_wind,m s-1
ua100m,Eastward Wind at 100m,eastward_wind,m s-1
uas,Eastward Near-Surface Wind,eastward_wind,m s-1
ugrido,UGRID Grid Specification,longitude,Dimensionless
umo,Ocean Mass X Transport,ocean_mass_x_transport,kg s-1
uo,Sea Water X Velocity,sea_water_x_velocity,m s-1
uqint,Eastward Humidity Transport,integral_wrt_height_of_product_of_eastward_wind_and _specific_humidity,m2 s-1
ut,Product of Air Temperature and Eastward Wind,product_of_eastward_wind_and_air_temperature,K m s-1
utendepfd,Tendency of Eastward Wind Due to Eliassen-Palm Flux Divergence,tendency_of_eastward_wind_due_to_eliassen_palm_flux _divergence,m s-2
utendnogw,Eastward Acceleration Due to Non-Orographic Gravity Wave Drag,tendency_of_eastward_wind_due_to_nonorographic_gravity _wave_drag,m s-2
utendnogw27,Eastward Acceleration Due to Non-Orographic Gravity Wave Drag,tendency_of_eastward_wind_due_to_nonorographic_gravity _wave_drag,m s-2
utendogw,Eastward Acceleration Due to Orographic Gravity Wave Drag,tendency_of_eastward_wind_due_to_orographic_gravity _wave_drag,m s-2
utendvtem,Tendency of Eastward Wind Due to TEM Northward Advection and Coriolis Term,tendency_of_eastward_wind_due_to_advection_by_northward _transformed_eulerian_mean_air_velocity,m s-1 d-1
